城市|职位名称|公司名称|薪资|地点|经验|学历|公司性质
北京|Python 开发工程师（国有控股）|携汇智联技术(北京)有限公司|1.8-3.5万|北京·顺义·空港|5-10年|本科|民营
北京|Python 工程师|北京忠邦源得科技有限公司|1.2-1.6万|北京·大兴·荣华街道|5-10年|本科|合资
北京|python后端开发工程师|外企德科数字技术有限公司|1.3-2.6万·14薪|北京·海淀|经验不限|本科|合资
北京|Python 算法工程师（国有控股）|携汇智联技术(北京)有限公司|2-4万|北京·顺义·空港|3-5年|硕士|民营
北京|Python后端开发工程师（全球大型知名外资企业）|万宝盛华企业管理咨询（上海）有限公司|2.5-3万|北京·朝阳·建外|3-5年|本科|民营
北京|软件开发/测试（JAVA/C/Python/web）等|外企德科数字技术有限公司|1.4-2.7万·16薪|北京·海淀|经验不限|本科|合资
北京|python测试工程师|携汇智联技术(北京)有限公司|1.3-2.5万|北京·顺义·空港|5-10年|本科|民营
北京|python开发|软通动力信息技术(集团)股份有限公司|1.8-2.2万|北京·朝阳·建外|3-5年|本科|民营
北京|软件开发工程师（Java/C++/C测试/python/JS/）|外企德科数字技术有限公司|1.5-3万·14薪|北京·海淀|经验不限|本科|合资
北京|python开发|云网易通信息技术(河南)有限公司|1.6-1.8万|北京·海淀·马连洼|5-10年|大专|民营
北京|软件研发工程师（python）|浪潮集团|9000-15000元|北京·东城·建国门|经验不限|本科|国企
北京|JAVA/C++/C/Python 14薪双休 应届生可投|外企德科数字技术有限公司|1.5-3万|北京·朝阳·建外|经验不限|本科|合资
北京|Python|中国电信股份有限公司北京云网操作系统研发中心|20-25万|北京·昌平·北七家|3-5年|本科|国企
北京|python后端开发工程师|郑州市二七区先锋外国语学校|1.6-2万|北京·海淀·中关村|5-10年|本科|民营
北京|前后端/软件开发/测试/运维工程师/数据开发/算法【Java/Python/C/C++】|外企德科数字技术有限公司|1.2-1.8万·14薪|北京·海淀·上地|经验不限|本科|合资
北京|python开发工程师(北京）|北京神州飞腾信息科技有限公司|1-1.8万|北京·通州·马驹桥|3-5年|本科|民营
北京|研发工程师(python)|同方知网（北京）技术有限公司|1-1.5万·15薪|北京·海淀·学院路|经验不限|本科|国企
北京|软件开发工程师(Java/C/C++/Python/Js)|外企德科数字技术有限公司|1.5-3万|北京·昌平·史各庄|经验不限|本科|合资
北京|python后端开发工程师|北京嘉岳数智科技有限公司|1.3-2.2万|北京·朝阳·双井|3-5年|本科|民营
北京|python软件工程师|北京博长智能科技有限公司|8000-16000元·13薪|北京·门头沟·大峪|3-5年|本科|民营
北京|初级开发【Java/python/C++】【25届/24届无经验可投】|外企德科数字技术有限公司|1-1.8万·14薪|北京·海淀|经验不限|本科|合资
北京|python后端开发工程师|软通动力信息技术(集团)股份有限公司|1.8-2.6万|北京·海淀·上地|3-5年|本科|民营
北京|python算法工程师|北京森艾电子|1.4-1.5万|北京·昌平|5-10年|大专|民营
北京|JAVA/C/C++/Python/go/web开发工程师 全国岗14薪，全额社保公积金 应届生/考研/考公失败可投|外企德科数字技术有限公司|1.5-3万·14薪|北京·海淀·上地|经验不限|本科|合资
北京|python爬虫工程师|软通动力信息技术(集团)股份有限公司|1.5-2万|北京·海淀·清河|5-10年|本科|民营
北京|Python开发工程师|北京艾维镝生物技术有限责任公司|1.1-2.2万|北京·大兴·博兴|3-5年|本科|民营
北京|各软件岗位[JAVA 、Python 、C、C++、web、测试]|外企德科数字技术有限公司|1.2-2.4万·14薪|北京·海淀·上地|经验不限|本科|合资
北京|python开发|成都聚思亿科技有限公司|1.5-2万|北京·海淀·花园路|5-10年|大专|民营
北京|python后端开发工程师（实习）|北京摩湃得科技有限公司|220-230元/天|北京·丰台·花乡|经验不限|本科|民营
北京|【北京】高社保公积金Java/C/C++/python测试开发工程师|外企德科数字技术有限公司|1.3-2.4万·16薪|北京·昌平·北七家|经验不限|本科|合资
北京|python高级开发工程师|成都聚思亿科技有限公司|1.5-2万|北京·海淀·学院路|5-10年|大专|民营
北京|python研发|北京新超仁达科技有限公司|1-2万|北京·海淀·上地|3-5年|本科|民营
上海|python开发|原子猫科技(北京)有限公司|1.3-1.5万|上海·虹口·北外滩|3-5年|本科|民营
上海|高级python工程师（可远程在家办公，英语流利）|大连思泰克科技有限公司|1.6-2.5万·13薪|上海·浦东·张江|5-10年|大专|民营
上海|python测试开发工程师|南京百敖|1.2-2万|上海·闵行|1-3年|本科|民营
上海|Python（学信本、现场面试）|原子猫科技(北京)有限公司|1.4-1.5万|上海·虹口·北外滩|3-5年|本科|民营
上海|Python开发|软通动力信息技术(集团)股份有限公司|1.1-1.6万|上海·闵行·新虹|3-5年|本科|民营
上海|python开发工程师|深圳市紫川软件有限公司|1-1.9万|上海·浦东·唐镇|3-5年|本科|民营
上海|python爬虫数据分析师|河北浅银新能科技有限公司|2-3万|上海·青浦·徐泾|5-10年|本科|民营
上海|python后端开发工程师|外企德科数字技术有限公司|1.2-2.4万|上海·浦东·金桥|经验不限|本科|合资
上海|python后端开发工程师（人工智能方向）|上海翼多翼得健康科技有限公司|1.5-3万|上海·普陀·长征|3-5年|本科|民营
上海|通信自动化测试（python、路由器、通信网络|瞬联软件科技(北京)有限公司|1.3-2万·13薪|上海·徐汇·虹梅路|3-5年|本科|民营
上海|python/java/c/c++/测试/算法|外企德科数字技术有限公司|1.5-3万·14薪|上海·浦东·金桥|经验不限|本科|合资
上海|Python/双休|四川蔡蔡人力资源有限公司|1.5-2万·13薪|上海·浦东·花木|1-3年|本科|民营
上海|数据清洗 python 14K|上海同薪网络技术有限公司|1.1-1.4万|上海·徐汇·龙华|1-3年|本科|民营
上海|软件工程师（Java/python/JS/C++）|外企德科数字技术有限公司|1.5-3万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|Python工程师|软通动力信息技术(集团)股份有限公司|1-1.2万|上海·浦东·张江|1-3年|大专|民营
上海|Python开发|上海昆联数码科技有限公司|1.6-1.8万|上海·静安·石门二路|3-5年|本科|民营
上海|软件开发（多语言 Java Python C/C++js等测试|外企德科数字技术有限公司|1.2-2.4万|上海·青浦·金泽|经验不限|本科|合资
上海|python爬虫数据分析师|河北浅银新能科技有限公司|2-3万|上海·青浦·徐泾|5-10年|本科|民营
上海|初级Python开发工程师|中电金信软件有限公司|1-1.3万|上海·浦东·唐镇|3-5年|本科|国企
上海|Java/C/C++/python/测试工程师，岗位多|外企德科数字技术有限公司|1.3-2.6万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|爬虫工程师（python）|软通动力信息技术(集团)股份有限公司|1.2-1.8万|上海·徐汇·龙华|1-3年|本科|民营
上海|python爬虫工程师|河北浅银新能科技有限公司|2-2.5万|上海·青浦·徐泾|1-3年|本科|民营
上海|java/c++/python后端开发/软件测试|外企德科数字技术有限公司|1.5-3万·16薪|上海·青浦·金泽|经验不限|本科|合资
上海|python算法工程师|上海天律信息技术有限公司|1.6-2.2万|上海·浦东·潍坊新村|3-5年|本科|民营
上海|python后端开发工程师|中电金信软件有限公司|1.2-1.3万|上海·浦东·唐镇|3-5年|本科|国企
上海|C/C++、Java、Python、JS、测试等工程师|外企德科数字技术有限公司|1.5-2.7万·16薪|上海·青浦·金泽|经验不限|本科|合资
上海|大厂java、python、c,c++、测试（就近安排）|南京驰讯人力资源有限公司|1.4-2.4万|上海·浦东·陆家嘴|经验不限|本科|民营
上海|C C++ python -技术支持|北京子钧科技有限公司|1.9-2.2万·14薪|上海·闵行·虹桥|1-3年|本科|民营
上海|Python开发工程师（14-16薪/线上面试）|外企德科数字技术有限公司|1.5-3万·14薪|上海·浦东·金桥|经验不限|本科|合资
上海|python爬虫工程师|软通动力信息技术(集团)股份有限公司|1.1-1.3万|上海·徐汇·龙华|1-3年|本科|民营
上海|C++/python/Java 技术支持|北京子钧科技有限公司|9000-18000元·14薪|上海·虹口·北外滩|1-3年|本科|民营
上海|前/后端开发 Java、C++、python、js|外企德科数字技术有限公司|1.5-3万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|高级python算法工程师|上海天律信息技术有限公司|1.8-2.5万|上海·浦东·潍坊新村|5-10年|本科|民营
上海|对日python|上海强辰信息技术有限公司|1.2-1.8万|上海·徐汇·湖南路|3-5年|本科|民营
上海|Java/C++/C/Python/前端/测试（25届可投）|外企德科数字技术有限公司|1.5-3万·15薪|上海·青浦·金泽|经验不限|本科|合资
上海|python自动化测试工程师|上海小招信息技术有限公司|8000-12000元·14薪|上海·嘉定·马陆|3-5年|本科|民营
上海|python爬虫工程师|软通动力信息技术(集团)股份有限公司|1.3-1.4万|上海·徐汇·龙华|3-5年|本科|民营
上海|中级python后端开发工程师|外企德科数字技术有限公司|1.5-1.6万|上海·虹口·北外滩|3-5年|本科|合资
上海|python产品开发工程师|安徽达硕企业服务有限公司|1.5-2万|上海·闵行·浦江|3-5年|大专|民营
上海|Python(or JAVA)/MySQL backend developer|万宝盛华企业管理咨询（上海）有限公司|2-2.7万|上海·浦东·潍坊新村|3-5年|本科|民营
上海|JAVA/C/C++/Python/go/web开发工程师 全国岗，14薪，全额社保公积金 应届生/考研/考公失败可投|外企德科数字技术有限公司|1.5-3万·14薪|上海·青浦·金泽|经验不限|本科|合资
上海|软件研发工程师（python）|浪潮集团|9000-15000元|上海·徐汇·田林|经验不限|本科|国企
上海|Python（Java）/MySQL后端开发工程师（全球大型知名外资企业）|万宝盛华企业管理咨询（上海）有限公司|2-2.7万|上海·浦东·潍坊新村|3-5年|本科|民营
上海|python开发|外企德科数字技术有限公司|1.4-1.6万|上海·虹口·北外滩|3-5年|大专|合资
上海|python自动化测试|上海有大信息科技|1.2-2.2万|上海·浦东·潍坊新村|5-10年|本科|民营
